;salary;experience;schedular;description;key_skills;url;prof;skill
39;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->40 000<!-- --> до <!-- -->50 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";;;Приготовление напитков в соответствии с меню. Знание основ методов смешивания напитков. Знание основ производства алкоголя. Обслуживание гостей на высоком уровне. Опыт работы от 1 года в аналогичной должности в ресторане. Опыт в ресторанах премиум класса будет являться преимуществом. ;[];https://hh.ru/vacancy/37878903;barmen;[]
40;;;;;[];https://hh.ru/vacancy/35213529;direktor_magazina;[]
41;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">до <!-- -->45 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, сменный график;Взаимодействие с посетителями магазина. Консультирование по продукции. Помощь в выборе товара. Работа на кассе. Информирование покупателя о скидках, акциях и...Опыт работы продавцом – желателен, но мы готовы рассмотреть кандидатов без опыта. Готовность к личным продажам. Личностные качества: активность, коммуникабельность.;[];https://hh.ru/vacancy/37726979;direktor_magazina;[]
42;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">до <!-- -->43 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, сменный график;Взаиморасчеты с покупателями - работа с денежной наличностью и кассовым аппаратом, выкладка товара, расположенного в прикассовой зоне: канцелярские товары, открытки, карты...Опыт работы не обязателен.;[];https://hh.ru/vacancy/37539604;direktor_magazina;[]
43;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->150 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";3–6 лет;Полная занятость, полный день;В новый магазин-кафе-пекарню в центре Москвы на постоянную работу требуется опытный Управляющий. Обязанности:  Подбор, управление и контроль за работой персонала. Обучение и внедрение стандартов обслуживания. Решение конфликтных ситуаций. Соблюдение норм Санпин, пожарная безопасность. Инструктаж.  Требования:  Опыт работы Управляющим в магазинах/ресторанах/кафе/отелях высокого уровня не менее двух лет ОБЯЗАТЕЛЕН! Положительные отзывы с предшествующих мест работы. Коммуникабельность и дисциплина.  Условия:  5/2 Официальное трудоустройство. Премии по результатам. Метро Кропоткинская. ;[];https://hh.ru/vacancy/37841025;direktor_magazina;[]
44;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->60 000<!-- --> до <!-- -->109 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"Ты любишь аксессуары?Тебя привлекает сфера продаж и ты имеешь опыт работы на руководящей должности?Тогда именно тебе мы хотим предложить должность директора магазина в нашей сети О нас: наша компания существует уже более 6 лет и насчитывает около 17 торговых точек в таких городах как: Москва, Краснодар, Пятигорск, Ставрополь, Волгоград, Калининград, Майкоп. Ассортимент и концепцию можно посмотреть в нашем Инстаграм В данный момент мы ищем торгующего управляющего магазином в г. Москва в ТРК VEGAS Кунцево Работа НЕ на островке, а в полноформатном магазине в ТЦ! Обязанности:  Управление персоналом: подбор, обучение, мотивация; Создание дружественной рабочей атмосферы; Анализ ключевых показателей эффективности работы магазина, обучение и вдохновение команды на выполнение KPI; Взаимодействие с внешними проверяющими органами; Проведение инвентаризаций; Контроль за оформлением магазина; Решение проблем, связанных с обслуживанием клиентов; Проведение собеседований; Организация бесперебойной работы магазина: выполнение плана продаж, контроль и ведение финансовой отчетности, создание эффективной и сплоченной команды; Оформление витрин; Обслуживание покупателей, личные продажи; Операции по приему, учету и хранению денежных средств; Составление графиков работы сотрудников магазина; Умение достигать и поддерживать высокий уровень продаж и сервиса; Проведение собраний;  Требования:  Опыт активных личных продаж, руководства персоналом и работа в аналогичной должности не менее года обязательны; Лидерские качества, управленческие навыки; Находчивость и предприимчивость для достижения результата вопреки преградам. Готовность к интенсивной работе; Стрессоустойчивость (эмоционально стабильный человек); Энергичность и сильное желание добиваться превосходных результатов; Честность, аккуратность, внимательность; Готовность брать на себя ответственность за своих сотрудников; Знание кассовой дисциплины приветствуется;  Если ваш рабочий мир заканчивается по будильнику в 19:00, то мы вряд ли сработаемся;   Условия:  Удобный график 5/2 ( 9 часовой рабочий день, выходные плавающие); Стабильная и достойная заработная плата; Официальное оформление согласно ТК РФ; Скидка 80% на продукцию компании; Карьерный рост: возможность дальнейшего развития в управлении розничной сети по г. Москва; Место работы: ТРК VEGAS Кунцево   Рассмотрению кандидатов осуществляется только при наличии резюме с фото!";['Управление продажами', 'Управление персоналом', 'Мотивация персонала', 'Обучение персонала', 'Активные продажи'];https://hh.ru/vacancy/37311273;direktor_magazina;['управление_NOUN', 'продажа_NOUN', 'управление_NOUN', 'персонал_NOUN', 'мотивация_NOUN', 'персонал_NOUN', 'обучение_NOUN', 'персонал_NOUN', 'активный_ADJ', 'продажа_NOUN']
45;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->70 000<!-- --> до <!-- -->120 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;Команда КуулКлевер открывает набор на вакантные должности Управляющих магазинами!Примените свой опыт в динамичной компании, где гордятся каждым продуктом МясновЪ и напитком из галереи вин Отдохни!Обязанности:   Организовывать работу магазина КуулКлевер по стандартам компании Выстраивать коллектив и увлекать сотрудников работой в компании Достигать плановых показателей продаж и выполнять поставленные задачи Создавать вежливую и дружелюбную атмосферу для работы с гостями, чтобы хотелось вернуться в наши магазины Контролировать приемку товара и проводить инвентаризации  Требования:  Опыт работы руководителем Опыт построения команды Умение взаимодействовать с людьми Стремление к развитию и достижению результатов Владение компьютером на уровне уверенного пользователя Коммуникабельность, исполнительность и ответственность  Условия:  Высокая зарплата. Оклад + % от продаж. График 5/2 Официальное оформление по ТК РФ Социальные гарантии (оплачиваемые отпуска, больничные листы) Премия за стаж работы в компании Возможность дополнительного заработка (оплачиваемые подработки) 100% белая зарплата, которая выплачивается на банковскую карту дважды в месяц Ежемесячное начисление бонусных баллов (КеГЛи) на личные карты лояльности сотрудников для возможности приобретения продукции компании Бесплатное обучение Увлекательные семинары с партнерами и дегустации Конкурсы с ценными призами Профессиональное развитие — до сотрудника Управляющей компании ;['Обучение персонала', 'Пользователь ПК', 'Контроль сроков годности', 'Развитие продаж', 'Работа в команде', 'Работа с людьми', 'обучение сотрудников', 'Управление продажами', 'Организаторские навыки'];https://hh.ru/vacancy/37832160;direktor_magazina;['обучение_NOUN', 'персонал_NOUN', 'пользователь_NOUN', 'пк_NOUN', 'контроль_NOUN', 'срок_NOUN', 'годность_NOUN', 'развитие_NOUN', 'продажа_NOUN', 'работа_NOUN', 'в_ADP', 'команда_NOUN', 'работа_NOUN', 'с_ADP', 'человек_NOUN', 'обучение_NOUN', 'сотрудник_NOUN', 'управление_NOUN', 'продажа_NOUN', 'организаторский_ADJ', 'навык_NOUN']
46;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->55 000<!-- --> до <!-- -->60 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, полный день;"STUDIO 29 — российский активно развивающийся бренд женской одежды. Наша компания растёт и мы будем рады видеть Вас частью нашей дружной молодой команды! Обязанности:  Управление и организация бесперебойной работы двух точек продаж в Москве, выполнение плана продаж, контроль и ведение финансовой отчетности; Управление персоналом: подбор, обучение, мотивация; Контроль за оформлением магазина, мерчендайзинга, поддержка имиджа магазина; Создание дружественной рабочей атмосферы; Анализ ключевых показателей эффективности работы магазина, обучение и вдохновение команды на выполнение KPI; Взаимодействие с внешними проверяющими органами, арендодателями и Администрацией ТЦ; Работа с товаром, подсортировка, проведение инвентаризаций; Решение проблем, связанных с обслуживанием клиентов; Анализ продаж, предоставление обратной связи о продукции; Обслуживание покупателей; Составление графиков работы сотрудников магазина; Умение достигать и поддерживать высокий уровень продаж и сервиса; Проведение собраний; Выполнение поручений руководителя.  Требования:  Опыт активных личных продаж, руководства персоналом и работа в аналогичной должности не менее года; Лидерские качества, управленческие навыки; Находчивость и предприимчивость для достижения результата; Готовность к интенсивной работе; Стрессоустойчивость, честность, аккуратность, внимательность; Знание кассовой дисциплины приветствуется; Знание и понимание продукта и модных тенденций.  Условия:  График работы 5/2 с плавающими выходными (пятница-суббота — рабочие дни); Заработная плата по результатам собеседования; Две точки продаж на ст. м. Китай-город и ЦСКА (корнер в ТЦ Авиапарк); Молодая команда единомышленников; Скидки на продукцию компании и подарки в день рождения; Испытательный срок 3 месяца. ";['Мотивация персонала', 'Управление персоналом', 'Управление продажами', 'Активные продажи', 'Обучение персонала', 'Подбор персонала', 'Собеседование', 'Инвентаризация', 'Управление командой', 'Ориентация на результат', 'Мерчандайзинг', '1С: Розница', 'Обучение и развитие', 'Взаимодействие с контрольными органами', 'Анализ продаж', 'Мотивация', 'Мерчендайзинг', 'Умение работать в команде', 'Проведение инвентаризаций', 'Пользователь ПК'];https://hh.ru/vacancy/37849225;direktor_magazina;['мотивация_NOUN', 'персонал_NOUN', 'управление_NOUN', 'персонал_NOUN', 'управление_NOUN', 'продажа_NOUN', 'активный_ADJ', 'продажа_NOUN', 'обучение_NOUN', 'персонал_NOUN', 'подбор_NOUN', 'персонал_NOUN', 'собеседование_NOUN', 'инвентаризация_NOUN', 'управление_NOUN', 'команда_NOUN', 'ориентация_NOUN', 'на_ADP', 'результат_NOUN', 'мерчандайзинг_NOUN', 'розница_NOUN', 'обучение_NOUN', 'и_SCONJ', 'развитие_NOUN', 'взаимодействие_NOUN', 'с_ADP', 'контрольный_ADJ', 'орган_NOUN', 'анализ_NOUN', 'продажа_NOUN', 'мотивация_NOUN', 'мерчендайзинг_NOUN', 'умение_NOUN', 'работать_VERB', 'в_ADP', 'команда_NOUN', 'проведение_NOUN', 'инвентаризация_NOUN', 'пользователь_NOUN', 'пк_NOUN']
47;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->55 000<!-- --> до <!-- -->55 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";1–3 года;Полная занятость, сменный график;Обязанности: Обеспечение работоспособности действующего продовольственного магазина самообслуживания 350 м.кв. Требования: ищем -Ответственную , неконфликтную сотрудницу в отличный коллектив -Обязательно уверенная пользователь 1с , !!! ОБЯЗАТЕЛЬНО -Опыт работы в ПРОДОВОЛЬСТВЕННОЙ Рознице - ОБЯЗАТЕЛЕН !!! -Всему научим . От вас важна Обучаемость ! -Не присылайте отклики живущие в Московской области. Время в дороге не более 1 часа.( пожалуйста проверьте) Возможность Роста! -55000 -Заработная плата НА РУКИ Условия: м. Полежаевская, около метро , 2/2 , время работы магазина с с 8.00 - 23.00.  ;[];https://hh.ru/vacancy/37485330;direktor_magazina;[]
48;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->55 000<!-- --> до <!-- -->75 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";3–6 лет;Полная занятость, полный день;"Розничные магазины товаров для дома и ремонта, в связи с планами по развитию, приглашает в команду управляющего магазином. Обязанности:  Обеспечение эффективной работы магазина (выполнение плана продаж с оптимальными затратами); Контроль организации торгового процесса в магазине; Планирование работы персонала магазина (составление графика работы, оперативный контроль); Оперативное решение вопросов с поставщиками, коллегами, подчиненными, покупателями; Управление персоналом: подбор, адаптация, обучение и развитие персонала магазина; Обеспечение сохранности ТМЦ, предотвращение потерь.  Требования:  Опыт работы управляющим/директором магазина от 5 лет; Опыт управления пространством магазина от 500 м.кв.; Навыки управления коллективом от 15 чел.; Навыки личных продаж и управления продажами; Знание кассовой дисциплины, кассы; Навыки подбора, адаптации, обучения и развития персонала; Проактивность.  Условия:  График работы: пятидневка, с 9.00 до 19.00; Своевременная выплата зарплаты; Заработная плата два раза в месяц; Соблюдение ТК (зарплата, больничные листы, отпуск); Испытательный срок составляет 3 месяца; Возможность принимать реальные решения на своем объекте, влиять на развитие компании, привносить в нее свой стиль, свои мысли и идеи, т.к. руководство компании готовы их услышать; Дружелюбная атмосфера внутри компании; Скидки на продукцию компании.  P.S. Благодарим всех соискателей, которые позвонили или направили отклик на данную вакансию. Ваша кандидатура будет рассмотрена в течение 72 часов. При положительном решении мы свяжемся с вами для назначения даты и времени собеседования. В ином случае резюме сохранится в базе данных.";['Управление персоналом'];https://hh.ru/vacancy/37756626;direktor_magazina;['управление_NOUN', 'персонал_NOUN']
49;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->57 000<!-- --> до <!-- -->65 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;Организация работы магазина. Организация и контроль работы сотрудников. Выполнение плана по товарообороту, минимизация потерь и соблюдение бизнес-процессов. Образование не ниже среднего профессионального. Опыт работы от 1 года на руководящей должности в розничной торговле (желательно продуктовой). ;[];https://hh.ru/vacancy/37763278;direktor_magazina;[]
50;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->110 000<!-- --> до <!-- -->170 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, полный день;В связи с амбициозным развитием нашей компании приглашаем на работу водителей-экспедиторов с личным коммерческим автомобилем и обязательно фургоном изотермическим, промтоварным, или цельнометаллическим, с возможностью загрузки от 1500кг до 3 тонн. Обязанности:  Доставка продукции компании юридическим и физическим лицам по Москве и ближайшему Подмосковью до 30 км от МКАД. Доставка питьевой воды в бутылях по 19 литров до клиента. Оформление документов ТОРГ-12, ТТН, акты приёма передачи, Приём оплаты за заказы-наличными, банковскими картами. Оформление путевой документации. Общение с клиентом согласно стандартам компании.  Требования:  Водительское удостоверение категории В. Готовность к физическим тяжёлым нагрузкам. Ответственность, вежливость, коммуникабельность, грамотная речь, опрятный внешний вид.  Условия:  График работы 5/2. График работы 6/1. Достойный уровень оплаты труда. Оплата производится каждый день!!!. Возможна работа в паре с грузчиком. Офис и склад находится по адресу г. Москва, ул. Зорге.   ;[];https://hh.ru/vacancy/37413966;ekspeditor;[]
51;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->85 000<!-- --> до <!-- -->110 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;"Приглашаем на вакансию водитель-экспедитор.  Гибкий график, большой автопарк. У вас есть возможность зарабатывать до 110 000 рублей. Пройти инструктаж и выйти на линию можно в первый же день! Вакансия актуальна до конца месяца.Требования: • Права категории «В»;• Опыт управления ТС более 1 года;• Вежливость;• Аккуратность. Условия:• Различные графики работы: полная занятость 5/2; сменные графики 2/2, 3/3 и т.д.; вахта (с предоставлением проживания), возможна подработка на несколько дней в неделю);• 100% обеспечение заказами в течение всей рабочей смены;• Автомобили до 2016 года выпуска;• Своевременные выплаты;• Бонусы лучшим водителям;• Техническое обслуживание за счет компании;• Все автомобили компании застрахованы – ОСАГО, КАСКО, ДСАГО;• 4 базы в Москве; Обязанности:• Качественная и своевременная доставка грузов по Москве и Московской области;• Соблюдение ПДД.  ";[];https://hh.ru/vacancy/36877140;ekspeditor;[]
52;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->70 000<!-- --> до <!-- -->90 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;"Должностные обязанности:• Своевременная доставка груза;• Аккуратное вождение и соблюдение ПДД• Оказание высокого уровня сервиса нашим клиентам. Требования:• Права категории B;• Водительский стаж от 1 года;• Желание работать и зарабатывать. Водительские права категории BУсловия:• Различные графики работы: полная занятость 6/1; сменные графики 2/2, 3/3 и т.д.; вахта (с предоставлением проживания), частичная занятость (обсуждается индивидуально);• 100% обеспечение заказами в течении всей рабочей смены;• Своевременные выплаты;• Бонусы лучшим водителям;• Автомобили 2015-2017 года;• Техническое обслуживание и мойка за счет компании. Полный рабочий день Разъездного характера";[];https://hh.ru/vacancy/37719697;ekspeditor;[]
53;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->70 000<!-- --> до <!-- -->90 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;"Должностные обязанности:• Своевременная доставка груза;• Аккуратное вождение и соблюдение ПДД• Оказание высокого уровня сервиса нашим клиентам. Требования:• Права категории B;• Водительский стаж от 1 года;• Желание работать и зарабатывать. Водительские права категории BУсловия:• Различные графики работы: полная занятость 6/1; сменные графики 2/2, 3/3 и т.д.; вахта (с предоставлением проживания), частичная занятость (обсуждается индивидуально);• 100% обеспечение заказами в течении всей рабочей смены;• Своевременные выплаты;• Бонусы лучшим водителям;• Автомобили 2015-2017 года;• Техническое обслуживание и мойка за счет компании. Полный рабочий день Разъездного характера";[];https://hh.ru/vacancy/37804108;ekspeditor;[]
54;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->55 000<!-- --> до <!-- -->95 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;Доставка товара в магазины сети.Опыт работы от 3-х лет. Водительское удостоверение категории В, С. Наличие личного автомобиля. Готовность к командировкам.;[];https://hh.ru/vacancy/37631773;ekspeditor;[]
55;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->85 000<!-- --> до <!-- -->110 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";1–3 года;Полная занятость, полный день;"Приглашаем на вакансию водитель-экспедитор.  Гибкий график, большой автопарк. У вас есть возможность зарабатывать до 110 000 рублей. Пройти инструктаж и выйти на линию можно в первый же день! Вакансия актуальна до конца месяца.Требования: • Права категории «В»;• Опыт управления ТС более 1 года;• Вежливость;• Аккуратность. Условия:• Различные графики работы: полная занятость 5/2; сменные графики 2/2, 3/3 и т.д.; вахта (с предоставлением проживания), возможна подработка на несколько дней в неделю);• 100% обеспечение заказами в течение всей рабочей смены;• Автомобили до 2016 года выпуска;• Своевременные выплаты;• Бонусы лучшим водителям;• Техническое обслуживание за счет компании;• Все автомобили компании застрахованы – ОСАГО, КАСКО, ДСАГО;• 4 базы в Москве; Обязанности:• Качественная и своевременная доставка грузов по Москве и Московской области;• Соблюдение ПДД.  ";[];https://hh.ru/vacancy/37804142;ekspeditor;[]
56;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->55 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, полный день;Обязанности:  Забор заказов из Интернет магазинов Пересчет количества забираемого товара у партнёров компании Доставка крупногабаритных заказов Работа на своем автомобиле ФУРГОН/ПОРТЕР/ГАЗЕЛЬ и т.д. С ВЪЕЗДОМ В 3ТТК, с грузоподьемность не более 2.5 тонн  Требования:  Водительские права категории B/C Стаж вождения не имеет значения. Хорошее знание Москвы и МО Ответственность.  Условия:  График 5/2. Доход от 55000 тыс.рублей в месяц на испытательный срок, далее от 60000 тыс.рублей(оклад+возможность подработки). Компенсация ГСМ, безлимитная мобильная связь. Оформление по ТК. Возврат на склад обязателен. ;['Материальная ответственность', 'пунктуальность'];https://hh.ru/vacancy/37919710;ekspeditor;['материальный_ADJ', 'ответственность_NOUN', 'пунктуальность_NOUN']
57;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->75 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";3–6 лет;Полная занятость, Вахтовый метод;"Обязанности:  Доставка и сопровождение стройматериалов по Москве, Московской области и Центральному региону. Контроль загрузки /выгрузки машины Соблюдение сроков доставки; Обеспечение сохранности груза; Соблюдение правил перевозки, приема и сдачи груза; Бережное отношение к технике, организация мелкого ремонта, знание технических характеристик и устройства ТС.  Требования:  Водительские права категории Е Желание работать и зарабатывать. Опыт работы от 3 лет на грузовых авто; Аккуратность, ответственность; Знание устройства, условий обеспечения технически исправного состояния автомобиля;  Условия:  Высокая и стабильная зарплата, оклад и сдельная часть, уровень зависит от количества отработанных рейсов Своевременная оплата труда, 2 раза в месяц, без задержек. Проезд по городу свободный: есть все пропуска. Норма расхода топлива адекватная Иногородним предоставляется общежитие; возможна вахта 15/15 Предоставляем возможность работать в удобном графике; Дружный коллектив База располагается в Люберецком районе, в деревне Торбеево, (есть стоянка для личного а/м). ";['Знание устройства автомобиля', 'Экспедирование', 'Знание устройства автомобиля', 'Экспедирование'];https://hh.ru/vacancy/37801649;ekspeditor;['знание_NOUN', 'устройство_NOUN', 'автомобиль_NOUN', 'экспедирование_NOUN', 'знание_NOUN', 'устройство_NOUN', 'автомобиль_NOUN', 'экспедирование_NOUN']
58;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->70 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";3–6 лет;Полная занятость, полный день;Требуемый опыт работы: 3–6 лет Полная занятость, полный день Обязанности: Развоз товаров на нашем автомобиле (Фиат Дукато), погрузка/выгрузка. Требования: Опыт работы водителем на данном виде автомобилей обязателен  ;['Водительское удостоверение категории B', 'Знание устройства автомобиля', 'Водительское удостоверение категории B', 'Знание устройства автомобиля'];https://hh.ru/vacancy/37214403;ekspeditor;['водительский_ADJ', 'удостоверение_NOUN', 'категория_NOUN', 'знание_NOUN', 'устройство_NOUN', 'автомобиль_NOUN', 'водительский_ADJ', 'удостоверение_NOUN', 'категория_NOUN', 'знание_NOUN', 'устройство_NOUN', 'автомобиль_NOUN']
59;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->38 000<!-- --> до <!-- -->50 000<!-- --> <!-- -->руб.<!-- --> на руки</span>";не требуется;Полная занятость, полный день;Обязанности:  Развоз парфюмерно-косметической продукции и бытовой химии по Москве/М.О.на автомобиле с водителем. Сдача/получение товара, разгрузка/погрузка автомобиля, работа с первичной документацией.  Условия: - График работы: пн.-пт. с 7-30 до 16-30. - Оформление по ТК РФ. - Больничные и отпуск оплачиваются. З/п от 38000 руб. + оплата переработок + доплата за стаж. Требования:  Опыт не имеет значения Образование не имеет значения СВЯЗЬ ТОЛЬКО ПО ТЕЛЕФОНУ. ;[];https://hh.ru/vacancy/37777596;ekspeditor;[]
60;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->100 000<!-- --> до <!-- -->120 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";3–6 лет;Полная занятость, полный день;"Обязанности:  Обеспечение монтажа, бесперебойной работы, правильной эксплуатации и ремонта электрооборудования и электрических сетей механизации строительства на объекте. Управление персоналом службы механизации (дежурные электрики, электромонтёры). Составление заявок на приобретение оборудования, материалов, запасных частей необходимых для бесперебойной работы сетей механизации. Участие в испытаниях и приемке энергетических установок и сетей в эксплуатацию. Выявление причин повреждения энергетического оборудования и разработки мероприятий по их предупреждению, создание безопасных условий труда. Контроль соблюдения правил и норм охраны труда при эксплуатации и ремонте энергоустановок и сетей. Контроль проектирования сетей электроснабжения механизации строительства. Контроль производства работ по прокладке высоковольтных кабельных линий подрядными организациями и собственными силами. Проверка исполнительной документации и сдача в РЭР МКС-филиал ПАО ""МОЭСК"", АО ""ОЭК"", ГУП ""Москоллектор"".  Требования:  Высшее профильное образование. ОБЯЗАТЕЛЬНО! Опыт работы в г. Москве. ОБЯЗАТЕЛЬНО! Опыт сдачи исполнительной документации в РЭР МКС-филиал ПАО ""МОЭСК"", АО ""ОЭК"" Коммуникабельность, ответственность, логическое мышление, исполнительность, желание работать в команде, применять и развивать профессиональные и личностные качества  Условия:  Оформление по ТК РФ Белая заработная плата Работа в стабильной, Генподрядной организации. График работы 5/2 с 09-00 до 18-00. М. Динамо ";[];https://hh.ru/vacancy/37811202;energetik;[]
61;"<span class=""bloko-header-2 bloko-header-2_lite"" data-qa=""bloko-header-2"">от <!-- -->150 000<!-- --> <!-- -->руб.<!-- --> до вычета налогов</span>";3–6 лет;Полная занятость, полный день;Обязанности:  Технический надзор по разделам электроснабжения и энергетики на предмет качества монтажных работ Анализ проектных решений по разделам с выдачей эксплуатационных рекомендаций и замечаний. Участие в решении вопросов о внесении в проекты изменений Проверка и согласование рабочих проектов арендаторов по разделам. Участие в пуско-наладочных работах и испытаниях систем здания и арендаторов. Приемка законченных строительством объектов Предоставление мотивированного заключения в случае обнаружения отклонений от проектных решений или обязательных требований нормативных документов по пожарной безопасности. Контроль/управление устранением замечаний по системам (подготовка дефектных ведомостей и актов, выработка ТЗ и создание ведомости работ на устранение замечаний, анализ КП). Разработка регламентных документов и стандартов Взаимодействие с подрядными организациями, осуществляющими деятельность по монтажу и техническому обслуживанию систем Взаимодействие с сетевыми и ресурсоснабжающими организациями. Подготовка ТЗ на модернизацию, договоров, отчетов, служебных записок и пр.  Требования:  Инженер-энергетик в службы эксплуатации ТРЦ не менее 5 лет. Опыт разработки регламентов и стандартов. Знание ПУЭ, ПТЭЭП, ПТЭТЭ, Межотраслевые правила по охране труда (правила безопасности) при эксплуатации электроустановок. Знание отраслевых требований по строительству и эксплуатации (ГОСТ, СНИП, ТР, ФЗ и других регламентных нормативов). Знание систем: электроснабжения, теплоснабжения, водоснабжение, отопление, водоотведение. Чтение чертежей и схем.  Условия:  Полное соблюдение Трудового Кодекса Белая конкурентная заработная плата Работа в крупном проекте городского значения Удобный, современный офис в районе станции метро Сокол Возможность работать частично дистанционно с посещением офиса несколько раз в неделю ;['Управление проектами', 'Инженерные системы', 'Проектная документация', 'Техническая эксплуатация', 'AutoCAD'];https://hh.ru/vacancy/37576470;energetik;['управление_NOUN', 'проект_NOUN', 'инженерный_ADJ', 'система_NOUN', 'проектный_ADJ', 'документация_NOUN', 'технический_ADJ', 'эксплуатация_NOUN']
